Produto,Qtd,Custo Unitário,Custos Extras Produto,Custo Total Unitário,Margem (%),Preço à Vista,Preço no Cartão,Imagem_URL,Data Cadastro_x,Data Cadastro_y
Touca para secar cabelo,6,6.56,2.93,9.49,58.06,14.999894000000001,16.90700405770965,https://down-br.img.susercontent.com/file/br-11134201-23020-grcr1wdnzinv65_tn,2025-10-07,2025-10-07
Chinelo Havaianas,11,23.1,2.71,25.810000000000002,93.68,49.988808000000006,56.34446348061317,https://down-br.img.susercontent.com/file/br-11134207-7r98o-md4x5pnsupf6f8_tn,2025-10-07,2025-10-07
Lousa magica,2,9.5,2.71,12.21,62.98,19.899858000000002,22.42995716862038,https://m.media-amazon.com/images/I/51wu923jfxL._AC_SX300_SY300_QL70_ML2_.jpg,2025-10-07,2025-10-07
